station,line,location,grade
Finch,Yonge-University,North York,Underground
North York Centre,Yonge-University,North York,Underground
Sheppard–Yonge,Yonge-University,North York,Underground
York Mills,Yonge-University,North York,Underground
Lawrence,Yonge-University,Old Toronto,Underground
Eglinton,Yonge-University,Old Toronto,Underground
Davisville,Yonge-University,Old Toronto,Surface
St. Clair,Yonge-University,Old Toronto,Underground
Summerhill,Yonge-University,Old Toronto,Underground
Rosedale,Yonge-University,Old Toronto,Surface
Bloor–Yonge,Yonge-University,Old Toronto,Underground
Wellesley,Yonge-University,Old Toronto,Underground
College,Yonge-University,Old Toronto,Underground
TMU,Yonge-University,Old Toronto,Underground
Queen,Yonge-University,Old Toronto,Underground
King,Yonge-University,Old Toronto,Underground
Union,Yonge-University,Old Toronto,Underground
St. Andrew,Yonge-University,Old Toronto,Underground
Osgoode,Yonge-University,Old Toronto,Underground
St. Patrick,Yonge-University,Old Toronto,Underground
Queen's Park,Yonge-University,Old Toronto,Underground
Museum,Yonge-University,Old Toronto,Underground
St. George,Yonge-University,Old Toronto,Underground
Spadina,Yonge-University,Old Toronto,Underground
Dupont,Yonge-University,Old Toronto,Underground
St. Clair West,Yonge-University,York,Underground
Cedarvale,Eglinton,Old Toronto,Underground/surface
Glencairn,Yonge-University,North York,Surface
Lawrence West,Yonge-University,North York,Surface
Yorkdale,Yonge-University,North York,Surface
Wilson,Yonge-University,North York,Surface
Sheppard West,Yonge-University,North York,Underground
Downsview Park,Yonge-University,North York,Underground
Finch West,Yonge-University,North York,Underground
York University,Yonge-University,North York,Underground
Pioneer Village,Yonge-University,North York,Underground
Highway 407,Yonge-University,Vaughan,Underground
Vaughan,Yonge-University,Vaughan,Underground
Kipling,Bloor-Danforth,Etobicoke,Surface
Islington,Bloor-Danforth,Etobicoke,Underground
Royal York,Bloor-Danforth,Etobicoke,Underground
Old Mill,Bloor-Danforth,Etobicoke,Underground/elevated
Jane,Bloor-Danforth,Old Toronto,Underground
Runnymede,Bloor-Danforth,Old Toronto,Underground
High Park,Bloor-Danforth,Old Toronto,Underground/surface
Keele,Bloor-Danforth,Old Toronto,Elevated
Dundas West,Bloor-Danforth,Old Toronto,Underground
Lansdowne,Bloor-Danforth,Old Toronto,Underground
Dufferin,Bloor-Danforth,Old Toronto,Underground
Ossington,Bloor-Danforth,Old Toronto,Underground
Christie,Bloor-Danforth,Old Toronto,Underground
Bathurst,Bloor-Danforth,Old Toronto,Underground
Bay,Bloor-Danforth,Old Toronto,Underground
Sherbourne,Bloor-Danforth,Old Toronto,Underground
Castle Frank,Bloor-Danforth,Old Toronto,Underground
Broadview,Bloor-Danforth,Old Toronto,Underground
Chester,Bloor-Danforth,Old Toronto,Underground
Pape,Bloor-Danforth,Old Toronto,Underground
Donlands,Bloor-Danforth,Old Toronto,Underground
Greenwood,Bloor-Danforth,Old Toronto,Underground
Coxwell,Bloor-Danforth,Old Toronto,Underground
Woodbine,Bloor-Danforth,Old Toronto,Underground
Main Street,Bloor-Danforth,Old Toronto,Underground
Victoria Park,Bloor-Danforth,Scarborough,Elevated
Warden,Bloor-Danforth,Scarborough,Elevated
Kennedy,Bloor-Danforth,Scarborough,Underground
Bayview,Sheppard,North York,Underground
Bessarion,Sheppard,North York,Underground
Leslie,Sheppard,North York,Underground
Don Mills,Sheppard,North York,Underground
Mount Dennis,Eglinton,York,Surface
Keelesdale,Eglinton,York,Underground
Caledonia,Eglinton,York,Underground
Fairbank,Eglinton,York,Underground
Oakwood,Eglinton,York,Underground
Forest Hill,Eglinton,Old Toronto,Underground
Chaplin,Eglinton,Old Toronto,Underground
Avenue,Eglinton,Old Toronto,Underground
Mount Pleasant,Eglinton,Old Toronto,Underground
Leaside,Eglinton,East York,Underground
Laird,Eglinton,East York,Underground
Sunnybrook Park,Eglinton,North York,On-street
Don Valley,Eglinton,North York,Underground
Aga Khan Park & Museum,Eglinton,North York,On-street
Wynford,Eglinton,North York,On-street
Sloane,Eglinton,North York,On-street
O'Connor,Eglinton,Scarborough,On-street
Pharmacy,Eglinton,Scarborough,On-street
Hakimi Lebovic,Eglinton,Scarborough,On-street
Golden Mile,Eglinton,Scarborough,On-street
Birchmount,Eglinton,Scarborough,On-street
Ionview,Eglinton,Scarborough,On-street
Humber College,Finch West,Etobicoke,In-trench
Westmore,Finch West,Etobicoke,On-street
Martin Grove,Finch West,Etobicoke,On-street
Albion,Finch West,Etobicoke,On-street
Stevenson,Finch West,Etobicoke,On-street
Mount Olive,Finch West,Etobicoke,On-street
Rowntree Mills,Finch West,North York,On-street
Pearldale,Finch West,North York,On-street
Duncanwoods,Finch West,North York,On-street
Milvan Rumike,Finch West,North York,On-street
Emery,Finch West,North York,On-street
Signet Arrow,Finch West,North York,On-street
Norfinch Oakdale,Finch West,North York,On-street
Jane and Finch,Finch West,North York,On-street
Driftwood,Finch West,North York,On-street
Tobermory,Finch West,North York,On-street
Sentinel,Finch West,North York,On-street
