delay_code,row_count,mapped_delay_code,fuzzy_score,include_code,remarks
MUSC,22482,MUSC,100,1,
MUIS,20668,MUIS,100,1,
SUDP,20535,SUDP,100,1,
TUSC,16211,TUSC,100,1,
MUPAA,16105,MUPAA,100,1,
MUO,10825,MUO,100,1,
SUO,10436,SUO,100,1,
MUIRS,7860,MUIRS,100,1,
MUIR,7226,MUIR,100,1,
PUMEL,6587,PUMEL,100,1,
PUOPO,5583,PUOPO,100,1,
MUNCA,5336,MUNCA,100,1,
MUGD,5144,MUGD,100,1,
MUI,5025,MUI,100,1,
TUMVS,4646,TUMVS,100,1,
SUUT,4279,SUUT,100,1,
SUAP,4192,SUAP,100,1,
EUSC,3546,EUSC,100,1,
MUATC,3374,MUATC,100,1,
MUTO,3034,MUTO,100,1,
EUDO,2911,EUDO,100,1,
TUO,2906,TUO,100,1,
MUSAN,2559,MUSAN,100,1,
PUMST,2492,PUMST,100,1,
MUDD,2245,MUDD,100,1,
MUNOA,2240,MUNOA,100,1,
EUBK,1992,EUBK,100,1,
TUNOA,1978,TUNOA,100,1,
SUAE,1705,SUAE,100,1,
TUNIP,1649,TUNIP,100,1,
TUOS,1624,TUOS,100,1,
PUSTS,1542,PUSTS,100,1,
EUNT,1450,EUNT,100,1,
MRO,1432,MUO,67,1,Why is there R and O difference so many times?
MUPLB,1314,MUPLB,100,1,
TUNCA,1302,TUNCA,100,1,
MUIE,1195,MUIE,100,1,
MUD,1178,MUD,100,1,
PUSI,1126,PUSI,100,1,
SUG,1126,SUG,100,1,
PUMO,1114,PUMO,100,1,
MRTO,900,MUTO,75,1,Why is there R and O difference so many times?
PUTWZ,892,PUTWZ,100,1,
PUSNT,884,PUSNT,100,1,
SUEAS,788,SUEAS,100,1,
TUCC,782,TUCC,100,1,
PUSTC,750,PUSTC,100,1,
SUCOL,708,SUCOL,100,1,
PUSO,681,PUSO,100,1,
ERDO,674,EUDO,75,1,Why is there R and O difference so many times?
PUTIJ,647,PUTIJ,100,1,
EUBO,633,EUBO,100,1,
PUTO,627,PUTOE,89,1,
PUSIS,592,PUSIS,100,1,
SUROB,588,SUROB,100,1,
ERTC,587,EUATC,67,1,
SUSA,570,SUSA,100,1,
MUWEA,545,MUWEA,100,1,
SUPOL,535,SUPOL,100,1,
EUPI,525,EUPI,100,1,
PUSSW,515,PUSSW,100,1,
TUS,473,TUS,100,1,
EUCD,451,EUCD,100,1,
MUTD,448,MUTD,100,1,
TUATC,445,TUATC,100,1,
PUTR,425,PUTR,100,1,
PUSRA,412,PUSRA,100,1,
MUPR1,391,MUPR1,100,1,
PUTIS,384,PUTIS,100,1,
EUTRD,376,EUTRD,100,1,
MRWEA,370,MUWEA,80,1,Why is there R and O difference so many times?
TUSUP,370,TUSUP,100,1,
EUOE,369,EUOE,100,1,
EUYRD,369,EUYRD,100,1,
MUCL,351,MUCL,100,1,
PUTOE,349,PUTOE,100,1,
EUME,343,EUME,100,1,
PUTDN,341,PUTDN,100,1,
EUAC,338,EUAC,100,1,
PUSAC,335,PUSAC,100,1,
EUO,312,EUO,100,1,
MRUI,285,MUI,86,1,
TUST,279,TUST,100,1,
MUWR,266,MUWR,100,1,
MUPLC,259,MUPLC,100,1,
MUCP,249,MUCP,100,1,
TUKEY,240,TUKEY,100,1,
PUSCR,235,PUSCR,100,1,
MRPAA,234,MUPAA,80,1,Why is there R and O difference so many times?
SRDP,229,SUDP,75,1,Why is there R and O difference so many times?
EUVE,222,EUVE,100,1,
ERPR,220,EUPI,50,,
PUCSC,214,PUCSC,100,1,
EUATC,207,EUATC,100,1,
SRO,202,SUROB,75,1,
PUTD,192,PUTD,100,1,
EUVA,183,EUVA,100,1,
EUTR,182,EUTR,100,1,
PREL,178,PUMEL,67,1,
PUEO,167,PUEO,100,1,
TRNCA,140,TUNCA,80,1,
TRO,139,TUO,67,1,Why is there R and O difference so many times?
