station,station_clean,row_count,mapped_station,score,include_station,remarks
KENNEDY BD STATION,KENNEDY BD,9893,Kennedy,95,1,BD is for Bloor Danforth
FINCH STATION,FINCH,9467,Finch,100,1,
KIPLING STATION,KIPLING,9436,Kipling,100,1,
BLOOR STATION,BLOOR,7306,Bloor–Yonge,90,1,
EGLINTON STATION,EGLINTON,6628,Eglinton,100,1,
WARDEN STATION,WARDEN,5629,Warden,100,1,
WILSON STATION,WILSON,5480,Wilson,100,1,
SHEPPARD WEST STATION,SHEPPARD WEST,5083,Sheppard West,100,1,
VICTORIA PARK STATION,VICTORIA PARK,4750,Victoria Park,100,1,
KEELE STATION,KEELE,4622,Keele,100,1,
ISLINGTON STATION,ISLINGTON,4483,Islington,100,1,
VAUGHAN MC STATION,VAUGHAN MC,4388,Vaughan,95,1,
DUNDAS STATION,DUNDAS,4383,Dundas West,90,1,
YONGE BD STATION,YONGE BD,4381,Sheppard–Yonge,86,1,BD is for Bloor-Danforth
YONGE UNIVERSITY LINE,YONGE UNIVERSITY LINE,4245,Sheppard–Yonge,86,1,
COXWELL STATION,COXWELL,4130,Coxwell,100,1,
UNION STATION,UNION,4076,Union,100,1,
ST GEORGE YUS STATION,ST GEORGE YUS,4017,St. George,95,1,YUS is for Yonge University
DAVISVILLE STATION,DAVISVILLE,3831,Davisville,100,1,
ST CLAIR WEST STATION,ST CLAIR WEST,3761,St. Clair West,96,1,
ST GEORGE BD STATION,ST GEORGE BD,3552,St. George,95,1,BD is for Bloor Danforth
YORK MILLS STATION,YORK MILLS,3470,York Mills,100,1,
LAWRENCE STATION,LAWRENCE,3387,Lawrence,100,1,
ST CLAIR STATION,ST CLAIR,3323,St. Clair,95,1,
COLLEGE STATION,COLLEGE,3185,College,100,1,
SHEPPARD STATION,SHEPPARD,3167,Sheppard–Yonge,90,1,
JANE STATION,JANE,3118,Jane,100,1,
WELLESLEY STATION,WELLESLEY,3098,Wellesley,100,1,
DUNDAS WEST STATION,DUNDAS WEST,3048,Dundas West,100,1,
GREENWOOD STATION,GREENWOOD,3024,Greenwood,100,1,
QUEEN STATION,QUEEN,2915,Queen,100,1,
BROADVIEW STATION,BROADVIEW,2841,Broadview,100,1,
MAIN STREET STATION,MAIN STREET,2764,Main Street,100,1,
OSSINGTON STATION,OSSINGTON,2740,Ossington,100,1,
SPADINA BD STATION,SPADINA BD,2696,Spadina,95,1,BD is for Bloor Danforth
BLOOR DANFORTH SUBWAY,BLOOR DANFORTH SUBWAY,2628,Bloor–Yonge,86,1,
EGLINTON WEST STATION,EGLINTON WEST,2591,Eglinton,90,1,
BATHURST STATION,BATHURST,2566,Bathurst,100,1,
ROYAL YORK STATION,ROYAL YORK,2454,Royal York,100,1,
PAPE STATION,PAPE,2431,Pape,100,1,
ROSEDALE STATION,ROSEDALE,2431,Rosedale,100,1,
DONLANDS STATION,DONLANDS,2427,Donlands,100,1,
CHRISTIE STATION,CHRISTIE,2414,Christie,100,1,
WOODBINE STATION,WOODBINE,2403,Woodbine,100,1,
DON MILLS STATION,DON MILLS,2401,Don Mills,100,1,
SHERBOURNE STATION,SHERBOURNE,2383,Sherbourne,100,1,
OLD MILL STATION,OLD MILL,2295,Old Mill,100,1,
LAWRENCE WEST STATION,LAWRENCE WEST,2248,Lawrence West,100,1,
SPADINA YUS STATION,SPADINA YUS,2235,Spadina,90,1,YUS is Yonge University
DUPONT STATION,DUPONT,2156,Dupont,100,1,
YORKDALE STATION,YORKDALE,2146,Yorkdale,100,1,
KING STATION,KING,2121,King,100,1,
DUFFERIN STATION,DUFFERIN,2099,Dufferin,100,1,
NORTH YORK CTR STATION,NORTH YORK CTR,2017,North York Centre,90,1,
MCCOWAN STATION,MCCOWAN,1923,Jane,60,0,station closed
YONGE-UNIVERSITY AND B,YONGE-UNIVERSITY AND B,1877,Sheppard–Yonge,86,1,
BAY STATION,BAY,1859,Bay,100,1,
CHESTER STATION,CHESTER,1765,Chester,100,1,
