"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-01 00:00","2022","05","01","00:00","","7.7","","-2.8","","47","","0.0","","6","","34","","16.1","","101.03","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-01 01:00","2022","05","01","01:00","","7.0","","-1.2","","56","","0.0","","6","","30","","16.1","","100.98","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-01 02:00","2022","05","01","02:00","","7.3","","-1.4","","54","","0.0","","6","","32","","16.1","","100.95","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-01 03:00","2022","05","01","03:00","","6.9","","-1.1","","57","","0.0","","6","","37","","16.1","","100.89","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-01 04:00","2022","05","01","04:00","","7.0","","-1.2","","56","","0.0","","6","","41","","16.1","","100.82","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-01 05:00","2022","05","01","05:00","","6.8","","-0.7","","59","","0.0","","6","","45","","16.1","","100.78","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-01 06:00","2022","05","01","06:00","","7.1","","-0.8","","57","","0.0","","6","","43","","16.1","","100.81","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-01 07:00","2022","05","01","07:00","","7.8","","-1.1","","53","","0.0","","5","","46","","16.1","","100.75","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-01 08:00","2022","05","01","08:00","","8.2","","-0.4","","54","","0.0","","6","","43","","16.1","","100.75","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-01 09:00","2022","05","01","09:00","","7.9","","0.2","","58","","0.0","","6","","41","","16.1","","100.70","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-01 10:00","2022","05","01","10:00","","6.7","","1.5","","69","","0.0","","6","","43","","16.1","","100.70","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-01 11:00","2022","05","01","11:00","","6.6","","2.7","","76","","0.0","","6","","39","","16.1","","100.70","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-01 12:00","2022","05","01","12:00","","6.5","","2.9","","78","","0.2","","6","","43","","16.1","","100.57","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-01 13:00","2022","05","01","13:00","","6.7","","3.0","","77","","0.0","","6","","32","","16.1","","100.59","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-01 14:00","2022","05","01","14:00","","6.3","","4.2","","86","","0.8","","6","","37","","16.1","","100.53","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-01 15:00","2022","05","01","15:00","","7.1","","4.8","","85","","0.2","","6","","37","","16.1","","100.41","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-01 16:00","2022","05","01","16:00","","8.0","","5.3","","83","","0.0","","7","","28","","16.1","","100.35","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-01 17:00","2022","05","01","17:00","","8.6","","3.3","","69","","0.0","","7","","30","","16.1","","100.34","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-01 18:00","2022","05","01","18:00","","9.0","","3.4","","68","","0.0","","6","","34","","16.1","","100.26","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-01 19:00","2022","05","01","19:00","","8.9","","5.4","","79","","0.2","","6","","30","","16.1","","100.26","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-01 20:00","2022","05","01","20:00","","9.6","","6.2","","79","","0.0","","6","","24","","16.1","","100.28","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-01 21:00","2022","05","01","21:00","","9.5","","7.5","","87","","0.0","","6","","28","","16.1","","100.24","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-01 22:00","2022","05","01","22:00","","8.8","","7.9","","94","","0.0","","6","","26","","16.1","","100.26","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-01 23:00","2022","05","01","23:00","","7.7","","7.0","","95","","0.0","","8","","17","","16.1","","100.29","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-02 00:00","2022","05","02","00:00","","7.8","","7.2","","96","","0.0","","6","","26","","16.1","","100.28","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-02 01:00","2022","05","02","01:00","","8.0","","7.4","","96","","0.0","","8","","11","","16.1","","100.26","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-02 02:00","2022","05","02","02:00","","8.2","","7.6","","96","","0.0","","9","","9","","16.1","","100.25","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-02 03:00","2022","05","02","03:00","","8.2","","8.1","","99","","0.0","","10","","9","","0.8","","100.21","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-02 04:00","2022","05","02","04:00","","8.0","","7.9","","99","","0.0","","17","","8","","0.6","","100.28","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-02 05:00","2022","05","02","05:00","","6.1","","6.0","","99","","0.0","","","","0","","0.6","","100.33","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-02 06:00","2022","05","02","06:00","","6.4","","6.3","","99","","0.0","","24","","5","","0.2","","100.38","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-02 07:00","2022","05","02","07:00","","6.2","","6.2","","100","","0.0","","25","","5","","0.2","","100.43","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-02 08:00","2022","05","02","08:00","","6.6","","6.6","","100","","0.0","","26","","5","","2.4","","100.46","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-02 09:00","2022","05","02","09:00","","7.0","","7.0","","100","","0.0","","27","","9","","12.9","","100.50","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-02 10:00","2022","05","02","10:00","","7.7","","7.6","","99","","0.0","","27","","5","","8.1","","100.56","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-02 11:00","2022","05","02","11:00","","8.2","","7.5","","95","","0.0","","24","","5","","12.9","","100.58","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-02 12:00","2022","05","02","12:00","","8.8","","7.7","","93","","0.0","","21","","13","","16.1","","100.63","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-02 13:00","2022","05","02","13:00","","8.8","","8.2","","96","","0.0","","27","","8","","16.1","","100.67","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-02 14:00","2022","05","02","14:00","","9.9","","8.5","","91","","0.0","","27","","9","","16.1","","100.69","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-02 15:00","2022","05","02","15:00","","9.7","","7.3","","85","","0.0","","29","","13","","16.1","","100.74","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-02 16:00","2022","05","02","16:00","","9.2","","6.4","","82","","0.0","","20","","18","","16.1","","100.77","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-02 17:00","2022","05","02","17:00","","8.8","","6.7","","87","","0.0","","24","","11","","16.1","","100.82","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-02 18:00","2022","05","02","18:00","","8.6","","6.7","","88","","0.0","","23","","11","","16.1","","100.84","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-02 19:00","2022","05","02","19:00","","7.8","","6.8","","93","","0.0","","25","","8","","16.1","","100.89","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-02 20:00","2022","05","02","20:00","","7.7","","7.1","","96","","0.0","","25","","11","","12.9","","100.92","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-02 21:00","2022","05","02","21:00","","9.0","","7.9","","93","","0.0","","30","","13","","16.1","","100.96","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-02 22:00","2022","05","02","22:00","","7.3","","6.7","","96","","0.0","","","","0","","9.7","","100.97","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-02 23:00","2022","05","02","23:00","","6.9","","6.5","","97","","0.0","","","","0","","6.4","","100.95","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-03 00:00","2022","05","03","00:00","","6.2","","5.8","","97","","0.0","","","M","4","","6.4","","100.93","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-03 01:00","2022","05","03","01:00","","7.1","","6.7","","97","","0.0","","","","0","","8.1","","100.91","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-03 02:00","2022","05","03","02:00","","7.5","","6.8","","95","","0.0","","28","","4","","8.1","","100.94","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-03 03:00","2022","05","03","03:00","","7.9","","6.8","","93","","0.0","","","","0","","14.5","","100.91","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-03 04:00","2022","05","03","04:00","","7.4","","6.7","","95","","0.0","","10","","8","","12.9","","100.90","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-03 05:00","2022","05","03","05:00","","6.6","","6.2","","97","","0.0","","9","","5","","8.1","","100.96","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-03 06:00","2022","05","03","06:00","","7.6","","6.9","","95","","0.0","","10","","5","","9.7","","100.99","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-03 07:00","2022","05","03","07:00","","8.0","","6.9","","93","","0.0","","6","","13","","14.5","","100.97","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-03 08:00","2022","05","03","08:00","","8.6","","6.9","","89","","0.0","","8","","15","","16.1","","100.97","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-03 09:00","2022","05","03","09:00","","8.6","","6.9","","89","","0.0","","8","","17","","16.1","","100.95","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-03 10:00","2022","05","03","10:00","","9.1","","7.0","","87","","0.0","","7","","26","","16.1","","100.91","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-03 11:00","2022","05","03","11:00","","9.4","","6.9","","84","","0.0","","10","","15","","16.1","","100.93","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-03 12:00","2022","05","03","12:00","","9.3","","6.9","","85","","0.0","","6","","28","","16.1","","100.82","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-03 13:00","2022","05","03","13:00","","9.4","","7.6","","88","","0.5","","7","","32","","16.1","","100.75","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-03 14:00","2022","05","03","14:00","","8.7","","7.6","","93","","0.8","","6","","32","","14.5","","100.74","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-03 15:00","2022","05","03","15:00","","9.2","","7.5","","89","","0.2","","5","","46","","16.1","","100.46","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-03 16:00","2022","05","03","16:00","","8.7","","7.2","","90","","0.0","","6","","41","","16.1","","100.35","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-03 17:00","2022","05","03","17:00","","8.8","","7.4","","91","","1.0","","5","","41","","9.7","","100.29","","","","","","Rain,Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-03 18:00","2022","05","03","18:00","","9.8","","8.6","","92","","2.5","","5","","43","","8.1","","100.28","","","","","","Rain,Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-03 19:00","2022","05","03","19:00","","10.3","","9.5","","95","","2.2","","5","","43","","6.4","","100.22","","","","","","Rain,Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-03 20:00","2022","05","03","20:00","","11.2","","10.3","","94","","2.2","","5","","41","","8.1","","100.16","","","","","","Rain,Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-03 21:00","2022","05","03","21:00","","11.5","","10.7","","95","","0.8","","5","","34","","6.4","","100.19","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-03 22:00","2022","05","03","22:00","","12.0","","11.2","","95","","0.5","","4","","32","","6.4","","100.19","","","","","","Rain,Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-05-03 23:00","2022","05","03","23:00","","12.3","","11.2","","93","","0.0","","2","","22","","16.1","","100.17","","","","","","NA"
