id,Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
25714,2026-01-01,02:09,Thursday,SHEPPARD STATION,SUAP,0,0,None,YU,0
25715,2026-01-01,02:28,Thursday,KIPLING STATION,MUIS,0,0,E,BD,5179
25716,2026-01-01,03:19,Thursday,SHEPPARD WEST STATION,MUIS,0,0,None,YU,0
25717,2026-01-01,03:44,Thursday,VMC STATION,MUIS,0,0,None,YU,0
25718,2026-01-01,03:53,Thursday,KIPLING STATION,MUIS,0,0,None,BD,0
25719,2026-01-01,06:00,Thursday,YONGE-UNIVERSITY AND B,MUO,0,0,None,YU/BD,0
25720,2026-01-01,07:45,Thursday,SHEPPARD WEST STATION,MUO,34,0,N,YU,5456
25721,2026-01-01,08:05,Thursday,EGLINTON STATION,MUO,5,10,N,YU,6111
25722,2026-01-01,08:14,Thursday,GREENWOOD STATION,MUWEA,7,12,E,BD,5299
25723,2026-01-01,08:18,Thursday,EGLINTON STATION,MUO,5,10,N,YU,5941
25724,2026-01-01,08:18,Thursday,DONLANDS STATION,MUWEA,3,8,W,BD,5204
25725,2026-01-01,08:25,Thursday,EGLINTON STATION,MUWEA,4,9,N,YU,5391
25726,2026-01-01,08:28,Thursday,DONLANDS STATION,MUWEA,10,15,W,BD,5047
25727,2026-01-01,08:40,Thursday,WILSON STATION,PUTO,7,0,N,YU,5421
25728,2026-01-01,08:44,Thursday,GREENWOOD STATION,EUDO,7,12,E,BD,5094
25729,2026-01-01,08:54,Thursday,WOODBINE STATION,EUCD,6,11,E,BD,5094
25730,2026-01-01,09:04,Thursday,VICTORIA PARK STATION,EUCD,3,8,E,BD,5094
25731,2026-01-01,09:20,Thursday,WOODBINE STATION,TUSC,0,0,E,BD,5059
25732,2026-01-01,09:58,Thursday,DONLANDS STATION,MUWEA,22,27,W,BD,5107
25733,2026-01-01,10:03,Thursday,BAY STATION,SUDP,0,0,None,BD,0
25734,2026-01-01,10:09,Thursday,UNION STATION,MUPAA,5,10,N,YU,5756
25735,2026-01-01,10:17,Thursday,VMC STATION,MUIR,4,8,S,YU,5701
25736,2026-01-01,10:18,Thursday,ISLINGTON STATION,MUIRS,0,0,None,BD,0
25737,2026-01-01,10:45,Thursday,UNION STATION,MUIS,0,0,None,YU,0
25738,2026-01-01,10:58,Thursday,ST GEORGE YUS STATION,SUAP,0,0,None,YU,0
25739,2026-01-01,11:17,Thursday,DOWNSVIEW PARK STATION,MUPAA,4,8,N,YU,5951
25740,2026-01-01,11:53,Thursday,TMU STATION,MUPAA,0,0,N,YU,5946
25741,2026-01-01,12:09,Thursday,COLLEGE STATION,SUDP,0,0,N,YU,5233
25742,2026-01-01,12:09,Thursday,COLLEGE STATION,SUDP,0,0,N,YU,0
25743,2026-01-01,12:48,Thursday,FINCH STATION,MUIS,0,0,S,YU,0
25744,2026-01-01,13:00,Thursday,COXWELL STATION,SUG,6,10,E,BD,5103
25745,2026-01-01,13:25,Thursday,KENNEDY BD STATION,SUG,4,8,W,BD,5101
25746,2026-01-01,13:30,Thursday,CHRISTIE STATION,TUSC,0,0,W,BD,5531
25747,2026-01-01,14:33,Thursday,KENNEDY BD STATION,MUSC,0,0,E,BD,5290
25748,2026-01-01,15:36,Thursday,QUEEN'S PARK STATION,MUIS,0,0,None,BD,0
25749,2026-01-01,15:53,Thursday,VICTORIA PARK STATION,PUMO,0,0,None,YU,0
25750,2026-01-01,16:09,Thursday,COLLEGE STATION,PUOPO,0,0,S,BD,5951
25751,2026-01-01,16:28,Thursday,SHEPPARD WEST STATION,MUSAN,4,8,S,YU,6111
25752,2026-01-01,17:23,Thursday,FINCH STATION,MUSAN,4,8,S,YU,5601
25753,2026-01-01,19:33,Thursday,YORKDALE STATION,MUPAA,5,10,N,YU,5726
25754,2026-01-01,19:51,Thursday,KENNEDY BD STATION,EUME,9,13,W,YU,5192
25755,2026-01-01,19:57,Thursday,KIPLING STATION,SUO,4,8,W,BD,5222
25756,2026-01-01,20:15,Thursday,SUMMERHILL STATION,MUDD,5,9,S,BD,5466
25757,2026-01-01,20:17,Thursday,COLLEGE STATION,TUO,0,0,N,YU,6121
25758,2026-01-01,20:44,Thursday,DUPONT STATION,MUDD,5,10,N,YU,5466
25759,2026-01-01,21:10,Thursday,TMU STATION,SUDP,6,11,S,YU,5621
25760,2026-01-01,21:22,Thursday,CHESTER STATION,MUSC,0,0,W,YU,5322
25761,2026-01-01,21:33,Thursday,ST GEORGE YUS STATION,MUIS,0,0,None,BD,0
25762,2026-01-01,21:41,Thursday,UNION TO KING,SUDP,4,9,N,YU,6136
25763,2026-01-01,21:47,Thursday,WILSON STATION,SUDP,3,8,S,YU,5656
25764,2026-01-01,21:48,Thursday,QUEEN'S PARK STATION,SUO,0,0,N,YU,0
25765,2026-01-01,21:49,Thursday,COXWELL STATION,MUIS,0,0,None,YU,0
25766,2026-01-01,22:01,Thursday,COLLEGE STATION,MUIRS,0,0,N,BD,0
25767,2026-01-01,22:15,Thursday,UNION STATION (ST ANDR,MUPAA,6,11,N,YU,5916
25768,2026-01-01,22:30,Thursday,CEDARVALE YU STATION,MUIS,0,0,None,YU,0
25769,2026-01-01,22:52,Thursday,COLLEGE STATION,PUOPO,0,0,S,YU,5646
25770,2026-01-01,23:28,Thursday,DUNDAS WEST STATION,MUIRS,0,0,None,YU,0
25771,2026-01-01,23:37,Thursday,CEDARVALE YU STATION,SUDP,9,14,S,YU,5911
25772,2026-01-01,23:46,Thursday,ST CLAIR WEST STATION,MUSAN,5,10,N,BD,5971
25773,2026-01-01,00:02,Thursday,MAIN STREET STATION,MUIS,0,0,None,YU,0
25774,2026-01-01,00:12,Thursday,COLLEGE STATION,MUTO,6,11,S,YU,5916
25775,2026-01-01,00:17,Thursday,KING STATION,MUIS,0,0,None,BD,0
25776,2026-01-01,00:20,Thursday,FINCH STATION,MUPAA,0,0,S,YU,5726
25777,2026-01-01,00:34,Thursday,FINCH STATION,MUIR,5,10,S,YU,5906
25778,2026-01-01,00:40,Thursday,WILSON STATION,PUOPO,0,0,S,YU,5816
25779,2026-01-01,01:59,Thursday,SPADINA BD STATION,SUUT,4,8,W,YU,5293
25780,2026-01-01,00:40,Thursday,WILSON STATION,PUOPO,0,0,S,YU,5816
25781,2026-01-01,01:59,Thursday,SPADINA BD STATION,SUUT,4,8,W,BD,5293
25782,2026-01-01,18:18,Thursday,SHEPPARD-YONGE STATION,TUSC,3,8,W,SHP,6196
25783,2026-01-01,18:18,Thursday,SHEPPARD-YONGE STATION,SUO,0,0,W,SHP,6196
25784,2026-01-01,19:11,Thursday,SHEPPARD-YONGE STATION,MUSAN,5,10,E,SHP,6191
25785,2026-01-01,22:44,Thursday,SHEPPARD-YONGE STATION,MUI,5,10,E,SHP,6181
25786,2026-01-02,02:06,Friday,SHEPPARD STATION,SUO,5,90,None,YU,0
25787,2026-01-02,02:51,Friday,KIPLING STATION,MUIS,0,0,None,BD,0
25788,2026-01-02,04:01,Friday,UNION STATION (QUEENS,SUO,0,0,None,YU,0
25789,2026-01-02,06:23,Friday,DOWNSVIEW PARK STATION,PUOPO,3,8,N,YU,5766
25790,2026-01-02,06:24,Friday,UNION STATION,PUTR,3,0,N,YU,5771
25791,2026-01-02,07:44,Friday,YONGE BD STATION,EUCA,0,0,W,BD,5217
25792,2026-01-02,07:56,Friday,BLOOR STATION,TUO,3,5,N,YU,5506
25793,2026-01-02,07:59,Friday,DONLANDS STATION,MUI,7,9,W,BD,5178
